Type of Payment code,Vehicle Code
1742 Tue Aug 10,05:59:28 2021 935402
1743 Tue Aug  3,09:21:23 2021 391081
1744 Tue Aug 17,12:42:50 2021 839064
1745 Sat Aug 14,05:01:36 2021 299433
1746 Thu Aug 19,19:03:15 2021 65383
1747 Sun Aug 15,12:42:40 2021 204486
1748 Thu Jul 29,13:15:22 2021 113181
1749 Sat Aug 21,15:09:46 2021 604553
1750 Fri Jul 30,06:03:58 2021 920454
1751 Fri Aug 20,23:12:11 2021 134479
1752 Sun Aug 15,18:01:56 2021 940809
1753 Sun Aug  8,22:42:58 2021 219584
1754 Fri Aug 20,08:33:56 2021 757411
1755 Fri Aug 20,11:55:40 2021 481534
1756 Thu Aug 12,10:15:36 2021 665989
1757 Fri Jul 30,19:07:38 2021 911657
1758 Tue Aug  3,15:14:21 2021 658086
1759 Sat Jul 31,11:09:25 2021 292317
1760 Sat Jul 31,21:01:30 2021 262944
1761 Fri Aug  6,23:02:19 2021 583838
1762 Sun Aug  1,14:41:56 2021 101167
1763 Wed Aug  4,14:57:42 2021 723319
1764 Tue Aug 17,21:05:35 2021 454912
1765 Sun Aug  8,04:14:59 2021 520115
1766 Sun Aug  8,06:48:43 2021 406932
1767 Thu Aug 19,08:13:24 2021 112997
1768 Mon Aug  2,03:47:26 2021 493392
1769 Wed Aug  4,02:05:29 2021 522621
1770 Mon Aug  2,07:24:47 2021 550053
1771 Tue Aug 17,13:38:32 2021 818879
1772 Sun Aug 15,01:02:08 2021 268918
1773 Thu Aug 12,22:39:24 2021 988714
1774 Sat Jul 31,21:59:07 2021 763235
1775 Tue Aug 10,16:05:24 2021 685471
1776 Tue Aug  3,08:46:42 2021 177457
1777 Tue Aug 17,21:23:32 2021 594351
1778 Tue Aug 10,03:58:46 2021 288558
1779 Thu Aug 12,23:08:59 2021 528677
1780 Sat Aug  7,04:24:28 2021 819410
1781 Wed Aug 18,03:26:23 2021 770005
1782 Sat Aug  7,17:28:30 2021 587605
1783 Thu Aug 12,21:59:01 2021 500216
1784 Sat Aug 21,18:41:56 2021 795681
1785 Tue Aug 17,01:32:56 2021 900171
1786 Sat Aug  7,02:37:46 2021 800858
1787 Fri Jul 30,14:10:16 2021 971264
1788 Wed Aug 18,08:17:21 2021 573618
1789 Sun Aug 22,05:39:11 2021 115117
1790 Thu Aug 19,14:06:25 2021 981110
1791 Wed Aug 18,14:24:25 2021 527167
1792 Sat Aug 14,00:48:10 2021 180556
1793 Thu Aug 12,01:11:12 2021 604563
1794 Wed Aug  4,14:18:27 2021 220233
1795 Wed Aug 18,03:58:02 2021 517216
1796 Sat Aug 14,12:34:46 2021 531770
1797 Sun Aug  8,19:35:06 2021 449603
1798 Mon Aug 16,17:15:43 2021 568102
1799 Fri Aug 20,03:42:31 2021 697724
1800 Wed Aug 18,18:57:47 2021 763212
1801 Sat Aug 14,08:44:35 2021 531256
1802 Fri Aug 20,23:23:55 2021 635646
1803 Sat Aug 14,16:59:33 2021 822474
1804 Sat Aug  7,17:30:42 2021 297583
1805 Mon Aug  9,00:23:40 2021 848254
1806 Wed Aug 18,03:13:39 2021 920188
1807 Fri Aug  6,07:10:58 2021 139772
1808 Sun Aug 15,11:32:15 2021 802940
1809 Fri Aug 20,04:02:11 2021 148852
1810 Sat Aug 14,22:25:16 2021 760469
1811 Sun Aug 15,10:36:42 2021 853792
1812 Sat Jul 31,04:14:46 2021 136388
1813 Tue Aug  3,16:45:09 2021 279513
1814 Mon Aug  9,23:36:26 2021 751697
1815 Mon Aug 16,23:33:40 2021 683346
1816 Wed Aug 11,06:45:54 2021 866104
1817 Sat Aug 14,01:32:14 2021 689888
1818 Tue Aug 17,21:57:00 2021 887812
1819 Thu Aug 19,06:38:36 2021 730946
1820 Tue Aug 17,04:00:15 2021 786111
1821 Mon Aug  2,01:40:15 2021 633885
1822 Sun Aug 22,01:00:21 2021 860820
1823 Thu Aug 12,10:36:06 2021 628232
1824 Wed Aug 11,12:19:55 2021 884771
1825 Sun Aug 22,02:18:20 2021 655972
1826 Wed Aug 18,10:37:41 2021 823072
1827 Thu Jul 29,12:40:32 2021 507303
1828 Sun Aug 15,18:01:15 2021 726700
1829 Wed Aug  4,08:28:33 2021 294061
1830 Wed Aug  4,22:13:29 2021 350700
1831 Mon Aug 16,12:27:49 2021 846014
1832 Mon Aug  9,03:33:49 2021 654095
1833 Thu Jul 29,18:34:56 2021 926193
1834 Thu Aug 19,20:02:43 2021 997640
1835 Sat Aug 21,12:47:18 2021 882027
1836 Fri Jul 30,05:15:30 2021 240809
1837 Wed Aug 11,05:23:19 2021 397108
1838 Wed Aug 11,12:44:34 2021 365382
1839 Tue Aug  3,20:16:48 2021 147172
1840 Sat Aug 14,12:43:14 2021 943991
1841 Sat Jul 31,12:22:18 2021 110028
1842 Fri Jul 30,06:26:26 2021 202098
1843 Mon Aug 16,02:43:29 2021 449185
1844 Wed Aug 18,20:19:54 2021 150476
1845 Sat Aug  7,01:30:51 2021 778079
1846 Wed Aug  4,06:43:05 2021 156192
1847 Thu Aug 12,23:56:23 2021 881137
1848 Wed Aug  4,16:50:46 2021 397018
1849 Sat Aug 14,10:02:38 2021 367486
1850 Thu Aug 19,19:22:53 2021 880644
1851 Sun Aug  1,23:32:30 2021 115118
1852 Fri Jul 30,14:40:45 2021 920173
1853 Sun Aug  1,05:01:44 2021 536018
1854 Sat Aug  7,08:37:59 2021 131941
1855 Sun Aug  1,14:51:51 2021 837629
1856 Thu Aug  5,04:55:05 2021 399545
1857 Sun Aug 22,08:45:27 2021 189134
1858 Sun Aug  1,21:41:48 2021 965332
1859 Fri Aug 13,07:30:37 2021 526510
1860 Sun Aug 15,21:48:54 2021 539049
1861 Sat Aug  7,21:46:25 2021 540559
1862 Sun Aug  1,06:23:04 2021 262696
1863 Fri Aug 20,06:02:41 2021 917479
1864 Thu Aug 12,14:33:04 2021 677336
1865 Fri Aug 20,20:49:02 2021 128854
1866 Wed Aug  4,12:15:14 2021 182197
1867 Mon Aug 16,07:33:33 2021 534678
1868 Fri Aug  6,05:33:50 2021 113033
1869 Thu Jul 29,15:49:04 2021 414697
1870 Wed Aug 11,21:12:44 2021 848561
1871 Wed Aug 11,05:53:49 2021 615831
1872 Tue Aug  3,10:42:52 2021 139562
1873 Thu Aug  5,16:54:16 2021 961061
1874 Sat Aug 21,04:06:50 2021 603444
1875 Thu Aug 12,02:24:05 2021 925645
1876 Thu Aug  5,15:46:24 2021 927147
1877 Mon Aug  9,22:50:16 2021 191491
1878 Tue Aug 10,19:50:39 2021 755112
1879 Tue Aug 17,11:19:27 2021 241075
1880 Sun Aug  8,16:01:27 2021 707923
1881 Tue Aug  3,17:17:12 2021 721665
1882 Sun Aug  1,13:22:35 2021 314068
1883 Fri Aug 13,06:23:56 2021 618226
1884 Fri Jul 30,17:00:45 2021 128380
1885 Mon Aug  2,07:57:35 2021 491941
1886 Sat Jul 31,22:27:32 2021 215466
1887 Wed Aug 11,17:50:37 2021 948782
1888 Thu Aug 19,20:00:29 2021 298968
1889 Sat Jul 31,00:17:32 2021 540827
1890 Mon Aug 16,13:48:24 2021 458713
1891 Thu Aug 19,14:23:04 2021 341841
1892 Sun Aug  1,17:05:55 2021 646702
1893 Fri Aug 13,19:58:21 2021 260702
1894 Thu Aug  5,21:39:29 2021 211052
1895 Mon Aug  2,12:29:47 2021 395911
1896 Sun Aug  8,06:34:16 2021 965064
1897 Thu Aug  5,07:18:57 2021 596670
1898 Wed Aug 18,09:27:01 2021 548389
1899 Thu Jul 29,14:35:16 2021 761147
1900 Wed Aug 18,16:15:18 2021 243057
1901 Thu Aug 12,07:43:41 2021 554017
1902 Thu Aug 19,08:53:09 2021 220629
1903 Mon Aug 16,02:47:38 2021 578664
1904 Sat Aug  7,02:33:39 2021 250997
1905 Fri Aug  6,13:33:36 2021 767034
1906 Fri Aug 13,00:23:18 2021 70027
1907 Wed Aug  4,04:49:43 2021 701607
1908 Fri Aug  6,20:00:07 2021 873031
1909 Fri Jul 30,09:50:21 2021 452671
1910 Mon Aug  2,19:10:04 2021 858906
1911 Fri Aug  6,10:31:13 2021 536192
1912 Mon Aug  9,23:30:41 2021 342578
1913 Tue Aug  3,17:10:14 2021 796842
1914 Fri Aug 13,06:23:26 2021 107391
1915 Thu Aug  5,01:00:11 2021 175616
1916 Fri Aug  6,12:24:47 2021 266377
1917 Tue Aug  3,16:07:12 2021 223293
1918 Wed Aug 11,15:06:35 2021 251722
1919 Tue Aug 10,16:44:42 2021 146331
1920 Thu Aug 19,21:32:33 2021 251988
1921 Tue Aug  3,05:49:51 2021 647233
1922 Sat Aug 21,20:20:15 2021 113598
1923 Sun Aug  8,06:02:43 2021 282854
1924 Tue Aug 17,04:10:10 2021 724641
1925 Sun Aug 15,07:11:35 2021 533546
1926 Sun Aug  8,18:55:46 2021 697529
1927 Tue Aug 17,00:35:52 2021 780378
1928 Sun Aug 15,19:27:30 2021 403424
1929 Thu Aug 12,03:09:50 2021 634253
1930 Wed Aug  4,00:43:13 2021 501596
1931 Tue Aug 17,10:34:31 2021 835996
1932 Thu Aug 19,20:56:46 2021 673462
1933 Wed Aug 18,23:44:04 2021 429878
1934 Mon Aug  2,12:14:53 2021 342680
1935 Thu Jul 29,13:51:54 2021 669193
1936 Fri Jul 30,05:28:29 2021 370213
1937 Sun Aug 15,14:46:11 2021 212979
1938 Fri Jul 30,09:51:28 2021 364700
1939 Tue Aug 17,01:39:26 2021 835394
1940 Wed Aug 18,18:34:52 2021 682034
1941 Sat Aug  7,14:07:50 2021 242183
1942 Wed Aug 18,12:09:53 2021 834329
1943 Sat Jul 31,12:31:59 2021 651475
1944 Wed Aug 11,23:01:35 2021 442377
1945 Sat Aug  7,06:32:49 2021 123275
1946 Thu Aug 19,01:40:15 2021 147942
1947 Thu Aug  5,15:41:45 2021 300446
1948 Sun Aug 15,08:07:22 2021 591254
1949 Mon Aug  2,05:08:03 2021 726906
1950 Fri Aug 13,09:54:50 2021 947957
1951 Sun Aug  8,10:32:03 2021 276380
1952 Tue Aug  3,23:17:24 2021 526118
1953 Mon Aug  9,19:29:57 2021 497186
1954 Sun Aug  1,19:12:46 2021 690718
1955 Thu Aug 12,23:20:49 2021 305103
1956 Mon Aug  2,09:38:46 2021 531701
1957 Fri Jul 30,06:39:24 2021 209042
1958 Fri Aug 20,12:15:01 2021 566468
1959 Sun Aug 15,12:53:09 2021 149688
1960 Sun Aug 15,01:42:00 2021 602465
1961 Mon Aug 16,07:00:10 2021 253462
1962 Mon Aug  9,13:18:19 2021 655768
1963 Wed Aug 18,16:10:02 2021 535689
1964 Wed Aug 11,22:03:39 2021 184263
1965 Sat Aug 21,22:34:30 2021 954866
1966 Wed Aug 11,13:42:02 2021 343572
1967 Fri Aug 13,18:37:43 2021 662339
1968 Sun Aug  8,09:52:22 2021 949474
1969 Sun Aug 22,05:51:34 2021 460176
1970 Sat Aug 14,12:32:18 2021 423161
1971 Thu Aug 12,20:25:37 2021 895041
1972 Sat Aug 21,07:53:37 2021 546438
1973 Sun Aug 15,08:42:29 2021 631425
1974 Thu Aug 19,01:07:40 2021 967344
1975 Sat Aug 21,09:55:26 2021 442606
1976 Fri Aug  6,21:26:18 2021 113950
1977 Sun Aug 15,14:37:56 2021 639547
1978 Wed Aug 18,03:55:56 2021 460831
1979 Thu Aug 12,20:21:46 2021 871189
1980 Sun Aug  1,12:41:29 2021 229859
1981 Wed Aug 18,00:36:39 2021 166759
1982 Tue Aug 10,18:53:49 2021 303770
1983 Fri Aug 13,09:56:24 2021 916382
1984 Sat Aug 14,11:23:24 2021 779521
1985 Fri Aug  6,22:51:50 2021 76332
1986 Sun Aug  8,18:43:59 2021 194066
1987 Sat Aug 14,07:18:36 2021 177816
1988 Sat Aug  7,16:05:39 2021 509940
1989 Mon Aug  9,23:05:48 2021 966368
1990 Thu Jul 29,19:38:41 2021 225241
1991 Thu Jul 29,16:12:46 2021 891909
1992 Fri Aug  6,01:55:31 2021 429898
1993 Wed Aug  4,08:33:39 2021 839531
1994 Wed Aug 18,05:36:50 2021 928463
1995 Sun Aug 15,17:07:02 2021 965942
1996 Sun Aug  8,01:56:15 2021 786964
1997 Sat Jul 31,20:33:56 2021 105202
1998 Wed Aug  4,18:39:09 2021 430603
1999 Wed Aug  4,22:03:44 2021 552929
2000 Sun Aug  8,14:14:01 2021 719169
2001 Mon Aug  9,21:20:13 2021 320987
2002 Fri Jul 30,13:58:01 2021 999169
2003 Mon Aug  2,03:17:59 2021 907566
2004 Sat Aug  7,05:39:56 2021 858518
2005 Sun Aug 15,08:33:09 2021 207325
2006 Sun Aug  8,18:36:31 2021 194507
2007 Tue Aug  3,08:35:55 2021 778340
2008 Fri Aug  6,10:05:08 2021 298854
2009 Sun Aug 15,07:27:57 2021 796456
2010 Tue Aug 17,20:10:31 2021 826741
2011 Tue Aug  3,17:15:28 2021 854404
2012 Thu Aug 12,11:59:45 2021 876499
2013 Fri Aug 20,16:42:08 2021 527937
2014 Sun Aug 22,14:05:35 2021 738566
2015 Sat Aug 14,19:39:13 2021 249548
2016 Sun Aug 15,16:21:57 2021 701998
2017 Thu Aug 12,15:41:20 2021 765506
2018 Thu Jul 29,23:46:01 2021 351341
2019 Wed Aug  4,20:45:12 2021 225089
2020 Sun Aug  1,03:39:32 2021 464244
2021 Mon Aug  2,12:09:31 2021 460996
2022 Tue Aug 17,23:09:45 2021 132366
2023 Fri Aug 13,20:13:59 2021 849539
2024 Wed Aug 11,03:20:02 2021 252981
2025 Mon Aug  2,05:27:39 2021 382511
2026 Sun Aug  8,04:47:13 2021 719866
2027 Sat Aug 21,19:59:21 2021 309425
2028 Mon Aug  9,03:51:13 2021 991012
2029 Sat Aug 21,02:26:18 2021 615427
2030 Sun Aug 22,15:08:07 2021 189848
2031 Wed Aug  4,22:52:32 2021 281170
2032 Thu Aug  5,08:17:18 2021 593931
2033 Wed Aug 18,01:50:41 2021 761733
2034 Sat Aug 21,00:57:37 2021 680034
2035 Tue Aug 17,08:56:58 2021 339755
2036 Tue Aug  3,11:49:30 2021 913921
2037 Thu Aug 12,05:08:07 2021 892104
2038 Thu Aug  5,17:27:01 2021 369020
2039 Thu Jul 29,12:28:05 2021 329523
2040 Thu Aug  5,23:55:51 2021 925534
2041 Sun Aug 22,09:01:58 2021 523883
2042 Sat Aug 14,01:19:12 2021 341781
2043 Wed Aug 18,04:35:08 2021 534414
2044 Fri Aug 20,21:45:27 2021 388103
2045 Thu Aug  5,18:27:18 2021 603196
2046 Thu Aug  5,03:00:25 2021 398590
2047 Fri Aug 20,20:59:44 2021 964108
2048 Fri Aug 13,23:54:57 2021 636643
2049 Sun Aug  1,10:53:55 2021 949244
2050 Fri Aug 13,13:59:13 2021 648135
2051 Tue Aug 10,16:38:08 2021 732656
2052 Sat Aug  7,16:01:28 2021 131603
2053 Mon Aug 16,17:54:26 2021 176904
2054 Sat Aug 14,11:00:25 2021 346481
2055 Fri Jul 30,22:37:27 2021 862792
2056 Fri Aug 20,09:58:53 2021 268416
2057 Thu Aug  5,00:19:54 2021 383373
2058 Fri Aug  6,10:28:07 2021 188138
2059 Wed Aug 11,14:59:37 2021 839180
2060 Mon Aug 16,20:14:17 2021 987070
2061 Sat Aug 21,13:25:10 2021 852283
2062 Wed Aug 18,21:23:19 2021 595108
2063 Mon Aug 16,02:08:15 2021 200907
2064 Wed Aug  4,10:47:30 2021 852828
2065 Mon Aug 16,17:05:17 2021 280374
2066 Fri Aug 20,12:32:42 2021 884917
2067 Wed Aug 11,18:44:36 2021 436392
2068 Fri Aug 13,13:19:11 2021 895221
2069 Fri Aug 20,00:41:15 2021 105783
2070 Mon Aug 16,10:56:20 2021 310588
2071 Tue Aug  3,03:03:13 2021 820489
2072 Wed Aug 18,11:26:05 2021 693945
2073 Mon Aug  9,06:13:35 2021 424529
2074 Sun Aug  1,06:54:04 2021 118871
2075 Sat Aug 21,22:24:30 2021 200686
2076 Wed Aug 18,05:23:10 2021 576506
2077 Wed Aug 11,11:33:51 2021 315648
2078 Sat Jul 31,17:49:45 2021 181149
2079 Fri Aug  6,13:00:55 2021 374143
2080 Sun Aug 15,22:29:46 2021 580012
2081 Mon Aug 16,07:47:52 2021 454206
2082 Mon Aug 16,14:07:35 2021 975942
2083 Tue Aug 17,03:59:02 2021 417426
2084 Sat Aug 21,20:11:34 2021 698216
2085 Thu Aug 19,15:48:15 2021 763608
2086 Mon Aug 16,05:05:29 2021 169808
2087 Wed Aug  4,10:25:17 2021 703944
2088 Sun Aug 22,16:23:37 2021 589215
2089 Wed Aug 18,09:20:24 2021 110768
2090 Mon Aug 16,01:26:47 2021 814215
2091 Fri Aug  6,22:23:54 2021 752876
2092 Wed Aug  4,23:25:03 2021 977281
2093 Thu Aug  5,05:22:25 2021 962119
2094 Fri Aug 13,11:33:50 2021 153297
2095 Fri Aug 13,06:38:29 2021 875617
2096 Tue Aug  3,10:15:33 2021 950819
2097 Sun Aug  1,07:27:37 2021 161448
2098 Fri Aug  6,03:42:56 2021 951597
2099 Sun Aug  1,23:45:38 2021 872076
2100 Wed Aug 11,20:04:49 2021 111710
2101 Mon Aug  2,12:49:18 2021 11402
2102 Sun Aug 22,08:29:32 2021 371031
2103 Tue Aug  3,11:40:20 2021 685596
2104 Sun Aug 15,18:38:12 2021 329650
2105 Mon Aug  9,17:14:12 2021 430134
2106 Thu Aug 19,04:25:07 2021 274598
2107 Fri Jul 30,03:59:32 2021 219925
2108 Thu Aug 19,23:26:53 2021 576719
2109 Wed Aug 18,04:49:40 2021 439233
2110 Sat Aug 14,05:58:41 2021 423046
2111 Sat Aug 14,18:06:57 2021 438367
2112 Mon Aug  2,02:02:45 2021 473125
2113 Thu Aug 12,19:41:32 2021 743233
2114 Sat Aug  7,07:15:48 2021 818674
2115 Sat Aug  7,13:17:13 2021 905763
2116 Sat Aug  7,11:46:15 2021 411269
2117 Sat Aug 14,13:56:25 2021 138013
2118 Fri Aug 20,12:14:38 2021 650794
2119 Sat Jul 31,10:41:53 2021 770245
2120 Fri Aug 13,18:59:00 2021 343412
2121 Thu Jul 29,14:09:23 2021 225211
2122 Tue Aug 10,10:02:35 2021 274646
2123 Thu Aug  5,00:27:03 2021 802479
2124 Sat Aug  7,20:39:45 2021 116433
2125 Sun Aug  1,16:38:11 2021 430298
2126 Thu Aug 12,06:55:34 2021 551192
2127 Mon Aug  9,09:07:18 2021 965452
2128 Thu Aug 19,07:16:34 2021 128291
2129 Wed Aug  4,14:17:55 2021 304099
2130 Wed Aug 11,14:44:41 2021 703970
2131 Tue Aug 10,08:16:38 2021 782138
2132 Sat Aug 21,08:34:56 2021 648993
2133 Thu Jul 29,22:39:17 2021 266744
2134 Fri Aug 20,00:16:27 2021 532884
2135 Sun Aug 22,13:38:10 2021 765088
2136 Sun Aug  1,21:57:48 2021 976915
2137 Thu Aug 19,14:33:37 2021 351498
2138 Sun Aug  8,18:45:14 2021 425670
2139 Fri Jul 30,12:06:14 2021 757456
2140 Tue Aug 10,00:57:35 2021 757199
2141 Sat Aug 14,08:47:37 2021 887010
2142 Tue Aug  3,14:47:00 2021 253504
2143 Sat Aug 14,16:02:27 2021 429416
2144 Mon Aug  9,00:30:48 2021 188744
2145 Fri Aug 20,15:24:07 2021 961568
2146 Wed Aug 11,01:21:58 2021 943772
2147 Sun Aug 22,05:42:55 2021 237299
2148 Thu Aug 12,07:31:11 2021 215531
2149 Mon Aug  9,18:12:12 2021 345607
2150 Sun Aug 22,01:32:14 2021 795340
2151 Wed Aug 11,06:57:54 2021 465668
2152 Thu Jul 29,18:38:32 2021 483347
2153 Fri Aug 13,21:54:30 2021 921533
2154 Mon Aug 16,19:57:05 2021 870740
2155 Sat Jul 31,16:25:44 2021 282149
2156 Sun Aug  8,23:53:38 2021 661735
2157 Thu Jul 29,12:10:37 2021 811103
2158 Fri Aug 13,13:52:44 2021 690352
2159 Mon Aug  9,02:52:47 2021 228878
2160 Thu Aug 12,02:03:16 2021 337297
2161 Mon Aug  2,03:54:08 2021 939219
2162 Tue Aug 17,01:07:02 2021 890600
2163 Thu Aug 12,05:33:27 2021 315397
2164 Sat Jul 31,08:09:29 2021 929389
2165 Sun Aug  8,04:03:06 2021 298123
2166 Wed Aug  4,10:15:55 2021 120603
2167 Sat Aug 14,00:04:32 2021 558123
2168 Fri Jul 30,05:06:05 2021 689081
2169 Sat Aug 14,01:27:39 2021 552394
2170 Wed Aug 18,23:35:20 2021 721108
2171 Tue Aug 10,02:50:04 2021 466835
2172 Wed Aug 11,13:04:40 2021 924591
2173 Sat Aug 21,10:03:43 2021 708723
2174 Thu Aug 12,16:20:40 2021 237339
2175 Thu Aug 12,21:47:00 2021 928031
2176 Thu Aug 12,01:06:19 2021 695364
2177 Thu Aug 19,08:38:44 2021 984480
2178 Sun Aug 22,09:56:59 2021 291279
2179 Thu Aug 12,09:03:01 2021 958184
2180 Tue Aug 17,01:50:14 2021 812026
2181 Tue Aug 17,12:16:16 2021 369429
2182 Wed Aug 18,05:43:37 2021 238989
2183 Tue Aug 17,15:11:31 2021 594664
2184 Thu Aug 19,08:26:08 2021 356652
2185 Thu Aug  5,04:54:53 2021 277238
2186 Tue Aug  3,13:10:25 2021 447189
2187 Tue Aug 10,13:36:26 2021 725240
2188 Wed Aug 18,04:47:56 2021 677330
2189 Sat Aug  7,22:13:18 2021 193561
2190 Mon Aug 16,18:21:52 2021 26785
2191 Sun Aug 15,11:24:24 2021 359810
2192 Sun Aug 22,12:34:23 2021 616630
2193 Tue Aug 10,05:25:23 2021 185257
2194 Sat Aug  7,10:02:00 2021 958874
2195 Wed Aug 18,11:04:22 2021 187713
2196 Tue Aug 10,09:19:56 2021 486684
2197 Sat Jul 31,00:14:28 2021 661028
2198 Fri Aug  6,18:36:55 2021 588659
2199 Mon Aug  2,06:52:10 2021 201316
2200 Mon Aug  9,01:55:56 2021 976357
2201 Tue Aug  3,18:29:25 2021 433535
2202 Thu Aug 19,12:05:07 2021 511535
2203 Thu Aug 12,14:43:33 2021 891487
2204 Wed Aug  4,05:35:13 2021 582251
2205 Fri Jul 30,16:44:30 2021 912789
2206 Wed Aug 11,10:55:54 2021 799675
2207 Mon Aug  9,06:33:18 2021 158196
2208 Mon Aug  2,17:00:47 2021 988017
2209 Sun Aug  1,10:19:00 2021 627238
2210 Mon Aug 16,10:25:19 2021 339922
2211 Sun Aug  8,04:58:45 2021 105089
2212 Sun Aug  8,15:45:06 2021 774877
2213 Mon Aug 16,21:02:56 2021 582854
2214 Sat Jul 31,11:25:20 2021 306901
2215 Thu Aug 12,04:22:30 2021 260672
2216 Tue Aug 17,20:38:13 2021 179465
2217 Wed Aug 11,09:25:28 2021 388837
2218 Sun Aug 22,16:17:43 2021 495976
2219 Sat Aug  7,19:08:26 2021 605497
2220 Thu Jul 29,13:51:21 2021 146149
2221 Wed Aug  4,02:15:42 2021 265364
2222 Thu Jul 29,18:56:21 2021 41829
2223 Tue Aug 10,21:59:48 2021 278707
2224 Fri Aug 13,15:47:42 2021 540042
2225 Sun Aug 22,18:34:12 2021 620678
2226 Mon Aug  2,15:06:40 2021 345225
2227 Thu Aug  5,06:51:41 2021 913101
2228 Fri Aug 20,13:39:12 2021 233579
2229 Sun Aug  1,00:08:32 2021 365847
2230 Thu Aug 19,21:06:19 2021 170638
2231 Thu Jul 29,19:38:05 2021 702085
2232 Tue Aug 10,23:41:20 2021 186242
2233 Tue Aug 10,02:02:46 2021 806210
2234 Wed Aug 18,03:08:44 2021 484325
2235 Tue Aug  3,17:34:37 2021 937713
2236 Fri Aug  6,02:39:27 2021 313615
2237 Sun Aug 15,22:31:40 2021 833597
2238 Wed Aug 11,19:16:50 2021 719894
2239 Sun Aug 15,13:35:27 2021 297704
2240 Fri Aug 20,09:25:45 2021 897727
2241 Fri Aug 20,00:18:43 2021 187798
2242 Thu Aug 12,00:57:47 2021 958740
2243 Mon Aug  9,18:06:44 2021 655979
2244 Mon Aug  9,03:40:21 2021 475716
2245 Tue Aug 17,03:03:55 2021 305851
2246 Tue Aug  3,00:25:45 2021 811349
2247 Fri Aug  6,19:51:27 2021 294677
2248 Sat Aug 14,01:06:02 2021 718960
2249 Fri Aug  6,09:03:05 2021 114337
2250 Sun Aug 22,05:11:35 2021 860457
2251 Mon Aug 16,13:48:57 2021 679623
2252 Fri Aug 20,22:44:44 2021 393785
2253 Mon Aug  9,09:56:07 2021 245112
2254 Wed Aug  4,01:20:44 2021 301540
2255 Thu Aug  5,16:29:09 2021 640770
2256 Sat Jul 31,21:44:16 2021 527271
2257 Thu Aug  5,00:54:29 2021 559778
2258 Thu Aug  5,13:53:24 2021 341784
2259 Fri Jul 30,23:32:10 2021 484145
2260 Wed Aug 11,21:33:36 2021 939370
2261 Sat Jul 31,11:42:13 2021 464033
2262 Fri Jul 30,03:45:14 2021 210249
2263 Sat Aug 14,06:28:51 2021 604842
2264 Sat Aug 14,07:55:08 2021 717963
2265 Thu Aug 12,06:47:02 2021 282997
2266 Thu Aug 12,12:18:27 2021 593438
2267 Tue Aug  3,00:05:19 2021 161313
2268 Sat Aug 21,08:07:01 2021 478882
2269 Sun Aug  1,15:04:23 2021 436420
2270 Mon Aug  9,05:21:03 2021 558353
2271 Sat Aug 21,22:39:31 2021 886099
2272 Wed Aug 11,12:16:26 2021 754547
2273 Mon Aug  2,04:32:09 2021 274592
2274 Wed Aug 18,22:30:30 2021 208251
2275 Tue Aug 10,01:41:27 2021 991324
2276 Thu Aug 12,02:39:16 2021 711688
2277 Fri Aug 13,16:36:37 2021 663878
2278 Fri Aug 20,16:30:48 2021 929255
2279 Fri Aug  6,18:19:30 2021 352069
2280 Sun Aug  8,14:06:56 2021 546708
2281 Fri Aug  6,20:38:31 2021 922446
2282 Sat Jul 31,10:24:35 2021 199677
2283 Fri Aug 13,10:49:58 2021 260779
2284 Tue Aug 17,13:29:55 2021 232720
2285 Thu Aug 19,02:10:36 2021 603974
2286 Sat Aug 21,13:46:08 2021 282195
2287 Sun Aug 15,02:26:30 2021 644342
2288 Mon Aug  2,12:44:30 2021 930819
2289 Sat Jul 31,18:50:48 2021 248154
2290 Mon Aug  2,12:59:21 2021 926313
2291 Wed Aug 18,02:39:31 2021 593872
2292 Wed Aug 11,09:32:56 2021 280751
2293 Sat Jul 31,05:37:21 2021 978284
2294 Fri Aug 13,10:16:15 2021 288200
2295 Fri Aug  6,05:53:32 2021 179530
2296 Thu Aug 19,15:20:30 2021 336973
2297 Wed Aug 11,22:20:04 2021 476033
2298 Wed Aug  4,11:17:00 2021 335516
2299 Mon Aug 16,17:09:26 2021 700103
2300 Wed Aug 18,10:38:15 2021 740554
2301 Thu Aug  5,23:21:46 2021 477837
2302 Tue Aug  3,21:35:25 2021 768048
2303 Wed Aug 11,10:16:03 2021 575244
2304 Sat Jul 31,12:52:34 2021 869340
2305 Thu Aug 19,18:40:23 2021 695109
2306 Sun Aug  1,08:07:35 2021 481238
2307 Wed Aug  4,17:26:39 2021 693170
2308 Sun Aug 15,16:55:35 2021 406563
2309 Fri Aug 13,01:11:47 2021 196967
2310 Wed Aug 18,01:46:17 2021 828571
2311 Thu Aug  5,04:01:28 2021 378636
2312 Thu Jul 29,23:37:16 2021 538454
2313 Wed Aug 18,21:14:11 2021 257695
2314 Tue Aug  3,06:34:59 2021 982440
2315 Sun Aug 15,01:31:13 2021 913282
2316 Wed Aug  4,11:32:12 2021 284307
2317 Sat Aug 14,01:39:31 2021 964168
2318 Fri Aug  6,12:16:22 2021 247045
2319 Mon Aug 16,21:11:03 2021 515150
2320 Sun Aug  1,00:55:45 2021 352118
2321 Wed Aug 11,08:06:53 2021 718037
2322 Mon Aug 16,08:18:58 2021 152484
2323 Sat Jul 31,17:33:25 2021 971675
