Rowid,Timestamp,Anonymized Vehicle number,Vehicle type,Number of axles,Tollplaza id,Tollplaza code,Type of Payment code,Vehicle Code
870,Sat Jul 31 22:44:46 2021,803701,car,2,4231,PC016D687,870 Sat Jul 31,22:44:46 2021 803701
871,Fri Jul 30 04:31:04 2021,8922075,car,2,4683,PC96978C6,871 Fri Jul 30,04:31:04 2021 892207
872,Sun Aug 22 08:11:59 2021,8132269,car,2,4794,PC4E1366E,872 Sun Aug 22,08:11:59 2021 813226
873,Fri Aug  6 00:32:27 2021,7321426,truck,4,4632,PCC1FFE5B,873 Fri Aug  6,00:32:27 2021 732142
874,Sun Aug  8 04:27:12 2021,3138897,truck,4,4242,PCECC4DE2,874 Sun Aug  8,04:27:12 2021 313889
875,Wed Aug 11 14:29:06 2021,7158326,car,2,4424,PC51E7EF8,875 Wed Aug 11,14:29:06 2021 715832
876,Thu Aug 12 13:19:41 2021,4824422,car,2,4301,PC540E129,876 Thu Aug 12,13:19:41 2021 482442
877,Thu Aug  5 21:55:03 2021,6076426,van,2,4681,PCBEB4D23,877 Thu Aug  5,21:55:03 2021 607642
878,Mon Aug  9 04:59:28 2021,2087111,car,2,4847,PCD546332,878 Mon Aug  9,04:59:28 2021 208711
879,Fri Aug 20 10:19:35 2021,6881195,van,2,4488,PC19D06B0,879 Fri Aug 20,10:19:35 2021 688119
880,Wed Aug  4 12:47:51 2021,8853927,car,2,4762,PC1A3D20B,880 Wed Aug  4,12:47:51 2021 885392
881,Wed Aug  4 23:22:39 2021,623284,car,2,4600,PCB99E8F9,881 Wed Aug  4,23:22:39 2021 623284
882,Sun Aug  8 00:43:57 2021,1530403,car,2,4930,PC22F748B,882 Sun Aug  8,00:43:57 2021 153040
883,Fri Jul 30 00:54:55 2021,9760697,car,2,4912,PC526B1EC,883 Fri Jul 30,00:54:55 2021 976069
884,Wed Aug  4 01:34:23 2021,6151069,car,2,4487,PCA92F2BD,884 Wed Aug  4,01:34:23 2021 615106
885,Wed Aug 11 05:48:06 2021,7421325,truck,4,4990,PCFE28E92,885 Wed Aug 11,05:48:06 2021 742132
886,Fri Aug  6 05:21:05 2021,2099429,car,2,4898,PC0AE9E1B,886 Fri Aug  6,05:21:05 2021 209942
887,Sun Aug 15 17:27:41 2021,6721597,car,2,4560,PC5030572,887 Sun Aug 15,17:27:41 2021 672159
888,Sun Aug  8 08:24:43 2021,6466023,car,2,4057,PC4B0DCD2,888 Sun Aug  8,08:24:43 2021 646602
889,Mon Aug  2 09:04:04 2021,7237260,van,2,4308,PC94E7A96,889 Mon Aug  2,09:04:04 2021 723726
890,Wed Aug  4 05:55:28 2021,6179390,car,2,4677,PCA9D6EEE,890 Wed Aug  4,05:55:28 2021 617939
891,Sat Aug  7 13:54:23 2021,6600330,car,2,4674,PC795E7B9,891 Sat Aug  7,13:54:23 2021 660033
892,Mon Aug 16 06:44:49 2021,4826949,car,2,4269,PCC7106FF,892 Mon Aug 16,06:44:49 2021 482694
893,Sun Aug 22 16:44:25 2021,285893,van,2,4820,PCC30C735,893 Sun Aug 22,16:44:25 2021 285893
894,Sun Aug  8 08:43:01 2021,2719759,van,2,4350,PCEDD7E85,894 Sun Aug  8,08:43:01 2021 271975
895,Sat Aug 14 12:34:32 2021,3265797,car,2,4031,PC0214185,895 Sat Aug 14,12:34:32 2021 326579
896,Thu Aug 12 11:13:56 2021,6224166,van,2,4420,PCFDB2950,896 Thu Aug 12,11:13:56 2021 622416
897,Fri Aug 13 16:41:04 2021,4987710,car,2,4123,PCDE850D8,897 Fri Aug 13,16:41:04 2021 498771
898,Sun Aug  8 00:14:03 2021,9795981,car,2,4127,PCA2D76A5,898 Sun Aug  8,00:14:03 2021 979598
899,Sun Aug  1 18:24:33 2021,7861616,car,2,4886,PC4D892D7,899 Sun Aug  1,18:24:33 2021 786161
900,Sun Aug  1 18:44:59 2021,3453900,car,2,4443,PCC139BD8,900 Sun Aug  1,18:44:59 2021 345390
901,Fri Jul 30 03:02:00 2021,3873716,truck,4,4142,PC7ACFF7C,901 Fri Jul 30,03:02:00 2021 387371
902,Wed Aug  4 08:01:14 2021,2518442,truck,4,4904,PC36C6441,902 Wed Aug  4,08:01:14 2021 251844
903,Sun Aug 15 20:54:05 2021,7424573,car,2,4841,PCE45DE8D,903 Sun Aug 15,20:54:05 2021 742457
904,Fri Jul 30 10:26:29 2021,5388228,car,2,4253,PC82A16E6,904 Fri Jul 30,10:26:29 2021 538822
905,Mon Aug 16 18:32:30 2021,2383579,car,2,4737,PCED7EAFE,905 Mon Aug 16,18:32:30 2021 238357
906,Fri Jul 30 13:47:09 2021,7808497,car,2,4486,PC3AF69A3,906 Fri Jul 30,13:47:09 2021 780849
907,Fri Aug 20 05:07:36 2021,9279180,car,2,4112,PCEA652A8,907 Fri Aug 20,05:07:36 2021 927918
908,Sun Aug 22 16:51:34 2021,9983818,car,2,5005,PC408264D,908 Sun Aug 22,16:51:34 2021 998381
909,Thu Aug 19 14:47:44 2021,3348529,truck,4,4313,PC6D0FC31,909 Thu Aug 19,14:47:44 2021 334852
910,Tue Aug 10 14:12:28 2021,2280811,truck,4,4362,PC670999C,910 Tue Aug 10,14:12:28 2021 228081
911,Tue Aug 10 04:44:39 2021,5475683,car,2,4047,PC6D105CF,911 Tue Aug 10,04:44:39 2021 547568
912,Tue Aug 10 08:17:25 2021,3242753,truck,4,4400,PC3BD7D63,912 Tue Aug 10,08:17:25 2021 324275
913,Fri Jul 30 09:55:51 2021,120673,car,2,4306,PC5D6563A,913 Fri Jul 30,09:55:51 2021 120673
914,Wed Aug 18 19:47:41 2021,2870417,car,2,4688,PCCB4C86D,914 Wed Aug 18,19:47:41 2021 287041
915,Thu Aug  5 03:55:44 2021,6521245,car,2,5007,PC869BDE8,915 Thu Aug  5,03:55:44 2021 652124
916,Sat Jul 31 16:01:56 2021,4749166,van,2,4030,PCA8A9AA8,916 Sat Jul 31,16:01:56 2021 474916
917,Tue Aug 10 01:04:59 2021,6120669,van,2,4007,PCDF9F773,917 Tue Aug 10,01:04:59 2021 612066
918,Tue Aug  3 23:22:35 2021,6406243,car,2,4632,PCC1FFE5B,918 Tue Aug  3,23:22:35 2021 640624
919,Tue Aug 10 03:55:51 2021,9951372,car,2,4888,PC46C55B4,919 Tue Aug 10,03:55:51 2021 995137
920,Thu Aug 12 00:11:21 2021,9528583,car,2,4988,PC46BE0B2,920 Thu Aug 12,00:11:21 2021 952858
921,Fri Jul 30 23:14:41 2021,3751116,truck,4,4142,PC7ACFF7C,921 Fri Jul 30,23:14:41 2021 375111
922,Tue Aug 10 02:36:21 2021,6549535,truck,4,4784,PCDB42B34,922 Tue Aug 10,02:36:21 2021 654953
923,Sun Aug 22 07:09:05 2021,3808707,car,2,4240,PC72FE04B,923 Sun Aug 22,07:09:05 2021 380870
924,Tue Aug 17 17:34:12 2021,5834018,truck,4,4283,PC953B572,924 Tue Aug 17,17:34:12 2021 583401
925,Fri Aug 13 01:25:20 2021,1158710,car,2,4513,PC52F533C,925 Fri Aug 13,01:25:20 2021 115871
926,Sun Aug 22 00:22:41 2021,5805628,car,2,4054,PC7E79FA0,926 Sun Aug 22,00:22:41 2021 580562
927,Sun Aug 22 11:01:45 2021,8561127,car,2,4833,PC71A1452,927 Sun Aug 22,11:01:45 2021 856112
928,Sat Jul 31 17:40:13 2021,4522592,car,2,4284,PC0DB49FD,928 Sat Jul 31,17:40:13 2021 452259
929,Tue Aug 10 09:14:01 2021,9284769,truck,4,4348,PCD66314D,929 Tue Aug 10,09:14:01 2021 928476
930,Thu Jul 29 13:34:09 2021,4304071,van,2,4617,PC7758F89,930 Thu Jul 29,13:34:09 2021 430407
931,Sun Aug 22 04:08:48 2021,9510776,truck,4,4909,PCDED6F20,931 Sun Aug 22,04:08:48 2021 951077
932,Sat Aug  7 05:57:05 2021,5931482,car,2,4301,PC540E129,932 Sat Aug  7,05:57:05 2021 593148
933,Thu Aug 12 08:25:32 2021,297034,truck,4,4160,PC6DC0ACF,933 Thu Aug 12,08:25:32 2021 297034
934,Wed Aug  4 06:54:11 2021,2292253,van,2,4856,PC7C042B7,934 Wed Aug  4,06:54:11 2021 229225
935,Wed Aug  4 04:12:51 2021,1208170,car,2,4317,PC0DC6CAB,935 Wed Aug  4,04:12:51 2021 120817
936,Sat Jul 31 11:53:17 2021,2579745,car,2,4172,PC1A43FB7,936 Sat Jul 31,11:53:17 2021 257974
937,Sun Aug  8 23:40:37 2021,9405902,car,2,4695,PC4A5D62F,937 Sun Aug  8,23:40:37 2021 940590
938,Wed Aug 11 05:28:13 2021,9448458,car,2,4737,PCED7EAFE,938 Wed Aug 11,05:28:13 2021 944845
939,Tue Aug 10 16:57:53 2021,7299577,car,2,4601,PCC932802,939 Tue Aug 10,16:57:53 2021 729957
940,Fri Aug  6 12:06:07 2021,4767711,truck,4,4862,PC3BDDA71,940 Fri Aug  6,12:06:07 2021 476771
941,Sun Aug 22 03:22:26 2021,2031526,truck,4,4907,PCCEEF65A,941 Sun Aug 22,03:22:26 2021 203152
942,Sun Aug 22 15:53:23 2021,9116083,truck,4,4615,PC1ECBA39,942 Sun Aug 22,15:53:23 2021 911608
943,Wed Aug 18 20:21:40 2021,7924083,car,2,4879,PCC90A061,943 Wed Aug 18,20:21:40 2021 792408
944,Sat Jul 31 21:33:16 2021,4362016,van,2,4764,PCF6B0D12,944 Sat Jul 31,21:33:16 2021 436201
945,Sun Aug 15 12:30:21 2021,204123,car,2,4519,PC92A6471,945 Sun Aug 15,12:30:21 2021 204123
946,Wed Aug 18 18:20:35 2021,5608936,truck,4,4185,PC7F5C566,946 Wed Aug 18,18:20:35 2021 560893
947,Mon Aug  2 00:23:19 2021,343443,car,2,4669,PC36675CE,947 Mon Aug  2,00:23:19 2021 343443
948,Sun Aug  8 15:51:53 2021,5764271,car,2,4013,PCE5BA2CE,948 Sun Aug  8,15:51:53 2021 576427
949,Sat Aug  7 15:02:00 2021,6893602,van,2,4533,PC8DA1D3B,949 Sat Aug  7,15:02:00 2021 689360
950,Mon Aug  2 21:12:08 2021,7414687,car,2,4293,PC2A27502,950 Mon Aug  2,21:12:08 2021 741468
951,Sun Aug 15 23:28:32 2021,8604341,car,2,4129,PCA6127FF,951 Sun Aug 15,23:28:32 2021 860434
952,Wed Aug 11 00:02:40 2021,7592309,car,2,4493,PC124B4C0,952 Wed Aug 11,00:02:40 2021 759230
953,Tue Aug 10 05:49:42 2021,5100235,car,2,4750,PCD987A9D,953 Tue Aug 10,05:49:42 2021 510023
954,Wed Aug 18 12:01:16 2021,5492657,car,2,4909,PCDED6F20,954 Wed Aug 18,12:01:16 2021 549265
955,Tue Aug 10 08:08:07 2021,6803375,car,2,4017,PCC090C3A,955 Tue Aug 10,08:08:07 2021 680337
956,Sat Aug  7 13:59:23 2021,5996935,car,2,4693,PCB4CDDA5,956 Sat Aug  7,13:59:23 2021 599693
957,Fri Aug 13 02:58:22 2021,2966355,car,2,4600,PCB99E8F9,957 Fri Aug 13,02:58:22 2021 296635
958,Tue Aug 17 20:44:01 2021,5978972,car,2,4519,PC92A6471,958 Tue Aug 17,20:44:01 2021 597897
959,Sat Aug 21 17:45:22 2021,2339859,car,2,4270,PC8F72158,959 Sat Aug 21,17:45:22 2021 233985
960,Sun Aug 22 17:13:03 2021,6020620,car,2,4832,PC34ECAB5,960 Sun Aug 22,17:13:03 2021 602062
961,Fri Aug 20 03:05:20 2021,7295422,car,2,4560,PC5030572,961 Fri Aug 20,03:05:20 2021 729542
962,Wed Aug  4 17:09:40 2021,8930290,car,2,4636,PCDECFC74,962 Wed Aug  4,17:09:40 2021 893029
963,Fri Jul 30 16:13:48 2021,3762534,truck,4,4433,PC1DEB043,963 Fri Jul 30,16:13:48 2021 376253
964,Sat Aug  7 21:13:44 2021,3793654,truck,4,4630,PCA26D872,964 Sat Aug  7,21:13:44 2021 379365
965,Fri Aug 13 17:11:40 2021,5371076,car,2,4448,PC19F3DBB,965 Fri Aug 13,17:11:40 2021 537107
966,Sun Aug 15 07:31:40 2021,2277244,truck,4,4624,PCDF73A3C,966 Sun Aug 15,07:31:40 2021 227724
967,Sun Aug  8 02:43:23 2021,3605245,car,2,4922,PC785D63F,967 Sun Aug  8,02:43:23 2021 360524
968,Wed Aug  4 07:43:09 2021,5880073,car,2,4376,PCA283923,968 Wed Aug  4,07:43:09 2021 588007
969,Tue Aug 17 11:46:09 2021,655252,van,2,4724,PC3DE08BF,969 Tue Aug 17,11:46:09 2021 655252
970,Sat Aug 14 11:18:31 2021,7055501,van,2,4600,PCB99E8F9,970 Sat Aug 14,11:18:31 2021 705550
971,Thu Aug 19 04:11:04 2021,72056,truck,4,4177,PC9194382,971 Thu Aug 19,04:11:04 2021 72056
972,Thu Aug 12 09:35:16 2021,9949523,truck,4,4822,PCD1EB220,972 Thu Aug 12,09:35:16 2021 994952
973,Fri Aug 13 02:54:50 2021,9040939,car,2,4756,PC8AEC6E8,973 Fri Aug 13,02:54:50 2021 904093
974,Sat Aug 14 05:58:14 2021,2706769,truck,4,4073,PCA3797CA,974 Sat Aug 14,05:58:14 2021 270676
975,Thu Jul 29 12:03:33 2021,6809169,car,2,4902,PC425C6EC,975 Thu Jul 29,12:03:33 2021 680916
976,Wed Aug 18 07:55:45 2021,8941091,car,2,4482,PCB6A16D7,976 Wed Aug 18,07:55:45 2021 894109
977,Tue Aug  3 09:41:56 2021,1740847,car,2,4989,PC7D7AE48,977 Tue Aug  3,09:41:56 2021 174084
978,Fri Jul 30 20:32:49 2021,3164197,truck,4,4611,PC2EBEAB9,978 Fri Jul 30,20:32:49 2021 316419
979,Mon Aug  2 00:03:52 2021,9341086,truck,4,4060,PC481C9F9,979 Mon Aug  2,00:03:52 2021 934108
980,Sat Jul 31 02:36:15 2021,1351100,car,2,4981,PC6B14C5D,980 Sat Jul 31,02:36:15 2021 135110
981,Fri Aug 13 12:31:42 2021,9853531,truck,4,4103,PC2B868A9,981 Fri Aug 13,12:31:42 2021 985353
982,Wed Aug  4 13:25:35 2021,9172763,van,2,4653,PC1CE4935,982 Wed Aug  4,13:25:35 2021 917276
983,Fri Aug 20 01:51:10 2021,3316540,truck,4,4620,PC43973F9,983 Fri Aug 20,01:51:10 2021 331654
984,Wed Aug  4 15:03:49 2021,6487444,car,2,4345,PCAC01231,984 Wed Aug  4,15:03:49 2021 648744
985,Wed Aug  4 00:16:23 2021,2853927,car,2,4496,PC3FD65C8,985 Wed Aug  4,00:16:23 2021 285392
986,Wed Aug 11 22:21:55 2021,9670184,car,2,4828,PCF712D1A,986 Wed Aug 11,22:21:55 2021 967018
987,Wed Aug 18 16:24:24 2021,3712950,car,2,4535,PC1BC7FA5,987 Wed Aug 18,16:24:24 2021 371295
988,Mon Aug  2 08:59:53 2021,3508883,car,2,4242,PCECC4DE2,988 Mon Aug  2,08:59:53 2021 350888
989,Sat Aug 14 06:46:16 2021,5883500,car,2,4949,PC86E9EB7,989 Sat Aug 14,06:46:16 2021 588350
990,Sat Aug  7 16:49:21 2021,2657749,car,2,4242,PCECC4DE2,990 Sat Aug  7,16:49:21 2021 265774
991,Wed Aug 11 23:49:40 2021,8330775,truck,4,4885,PC5083F35,991 Wed Aug 11,23:49:40 2021 833077
992,Wed Aug 18 23:32:29 2021,9423996,truck,4,4833,PC71A1452,992 Wed Aug 18,23:32:29 2021 942399
993,Sun Aug  1 02:42:51 2021,4210854,truck,4,4100,PCC6DD8D5,993 Sun Aug  1,02:42:51 2021 421085
994,Thu Aug 12 17:26:17 2021,1671308,car,2,4395,PC6F25DF0,994 Thu Aug 12,17:26:17 2021 167130
995,Mon Aug 16 10:56:43 2021,5017354,van,2,4267,PCE51C5C7,995 Mon Aug 16,10:56:43 2021 501735
996,Wed Aug 18 23:27:37 2021,5192039,car,2,4097,PCB1B5BEC,996 Wed Aug 18,23:27:37 2021 519203
997,Fri Aug 20 14:42:50 2021,1763724,van,2,4646,PC3F8C42B,997 Fri Aug 20,14:42:50 2021 176372
998,Sat Jul 31 09:34:08 2021,4728276,car,2,4780,PC0A717C4,998 Sat Jul 31,09:34:08 2021 472827
999,Sat Aug 14 06:45:46 2021,1590634,car,2,4473,PC51FDD60,999 Sat Aug 14,06:45:46 2021 159063
1000,Sat Aug 21 15:15:35 2021,4371246,car,2,4631,PCFFF6463,1000 Sat Aug 21,15:15:35 2021 437124
1001,Sun Aug  1 03:06:17 2021,400581,car,2,4532,PC8DD921E,1001 Sun Aug  1,03:06:17 2021 400581
1002,Sat Aug  7 18:40:51 2021,4936065,truck,4,4524,PCF8BB245,1002 Sat Aug  7,18:40:51 2021 493606
1003,Thu Aug  5 05:43:14 2021,771246,car,2,4317,PC0DC6CAB,1003 Thu Aug  5,05:43:14 2021 771246
1004,Fri Aug  6 11:33:57 2021,3737235,car,2,4989,PC7D7AE48,1004 Fri Aug  6,11:33:57 2021 373723
1005,Fri Aug 20 04:56:35 2021,5150627,car,2,4023,PC77793DF,1005 Fri Aug 20,04:56:35 2021 515062
1006,Tue Aug  3 19:29:29 2021,846975,van,2,4288,PC12AA919,1006 Tue Aug  3,19:29:29 2021 846975
1007,Thu Aug 19 21:44:49 2021,44431,car,2,4296,PCA24C1E1,1007 Thu Aug 19,21:44:49 2021 44431
1008,Mon Aug  9 03:16:36 2021,704512,truck,4,4927,PC2D22627,1008 Mon Aug  9,03:16:36 2021 704512
1009,Fri Aug  6 19:06:52 2021,5019748,car,2,4440,PCBE1B45D,1009 Fri Aug  6,19:06:52 2021 501974
1010,Sat Jul 31 07:07:47 2021,6703039,van,2,4376,PCA283923,1010 Sat Jul 31,07:07:47 2021 670303
1011,Sat Aug  7 07:51:11 2021,5100397,truck,4,4332,PC3B258E9,1011 Sat Aug  7,07:51:11 2021 510039
1012,Sun Aug 15 01:41:23 2021,5467760,truck,4,4724,PC3DE08BF,1012 Sun Aug 15,01:41:23 2021 546776
1013,Wed Aug 18 07:30:36 2021,9128803,car,2,4121,PCEC57A8E,1013 Wed Aug 18,07:30:36 2021 912880
1014,Sat Jul 31 02:20:01 2021,1654264,car,2,4749,PC65C93B7,1014 Sat Jul 31,02:20:01 2021 165426
1015,Tue Aug  3 03:05:52 2021,4984461,car,2,4640,PCC993FB3,1015 Tue Aug  3,03:05:52 2021 498446
1016,Fri Jul 30 21:49:31 2021,7366827,truck,4,4103,PC2B868A9,1016 Fri Jul 30,21:49:31 2021 736682
1017,Thu Aug 12 12:11:15 2021,4665816,truck,4,4335,PC76935F9,1017 Thu Aug 12,12:11:15 2021 466581
1018,Mon Aug  2 11:54:50 2021,523203,car,2,4458,PCECEBBFA,1018 Mon Aug  2,11:54:50 2021 523203
1019,Tue Aug 17 05:47:57 2021,1772752,car,2,4432,PC4CBEFF5,1019 Tue Aug 17,05:47:57 2021 177275
1020,Mon Aug  9 21:16:48 2021,1629261,car,2,4052,PC25E70B7,1020 Mon Aug  9,21:16:48 2021 162926
1021,Wed Aug 11 00:16:01 2021,4494921,car,2,4070,PCEECA8B2,1021 Wed Aug 11,00:16:01 2021 449492
1022,Tue Aug  3 21:06:01 2021,5524917,truck,4,4812,PC22D9C6D,1022 Tue Aug  3,21:06:01 2021 552491
1023,Fri Aug  6 00:17:36 2021,2575931,car,2,4871,PC397AFA3,1023 Fri Aug  6,00:17:36 2021 257593
1024,Tue Aug 10 02:16:38 2021,38837,truck,4,4712,PC94168A2,1024 Tue Aug 10,02:16:38 2021 38837
1025,Sun Aug  1 15:26:03 2021,6110896,car,2,4960,PC6A1BCA4,1025 Sun Aug  1,15:26:03 2021 611089
1026,Thu Aug  5 01:06:50 2021,4906689,van,2,4261,PC84FFC9D,1026 Thu Aug  5,01:06:50 2021 490668
1027,Sat Jul 31 05:17:10 2021,7655542,car,2,4678,PCD175301,1027 Sat Jul 31,05:17:10 2021 765554
1028,Sun Aug 22 13:23:14 2021,6713340,truck,4,4555,PC06A0237,1028 Sun Aug 22,13:23:14 2021 671334
1029,Mon Aug  9 14:03:52 2021,8154658,truck,4,4623,PCAA67227,1029 Mon Aug  9,14:03:52 2021 815465
1030,Mon Aug 16 12:44:40 2021,2134355,car,2,4420,PCFDB2950,1030 Mon Aug 16,12:44:40 2021 213435
1031,Sun Aug  8 07:23:59 2021,8951131,car,2,4063,PC7667A3E,1031 Sun Aug  8,07:23:59 2021 895113
1032,Sun Aug  8 20:28:35 2021,4929926,truck,4,4627,PCA965149,1032 Sun Aug  8,20:28:35 2021 492992
1033,Thu Aug 19 07:08:20 2021,4457235,car,2,4183,PCF5E7754,1033 Thu Aug 19,07:08:20 2021 445723
1034,Mon Aug 16 08:19:54 2021,1832726,truck,4,4585,PCF3AE602,1034 Mon Aug 16,08:19:54 2021 183272
1035,Thu Aug 19 18:37:23 2021,4134771,car,2,4666,PCE8CBA37,1035 Thu Aug 19,18:37:23 2021 413477
1036,Thu Jul 29 13:30:35 2021,2782018,car,2,4842,PC16F5A24,1036 Thu Jul 29,13:30:35 2021 278201
1037,Thu Aug 12 04:03:32 2021,4735037,car,2,4391,PCCFD9AB6,1037 Thu Aug 12,04:03:32 2021 473503
1038,Sat Aug 21 04:51:28 2021,6174121,car,2,4202,PC65AA714,1038 Sat Aug 21,04:51:28 2021 617412
1039,Thu Aug 19 08:00:33 2021,8173134,car,2,4386,PC948D5B2,1039 Thu Aug 19,08:00:33 2021 817313
1040,Sun Aug 15 00:46:13 2021,1238794,car,2,4886,PC4D892D7,1040 Sun Aug 15,00:46:13 2021 123879
1041,Sat Aug 14 20:24:08 2021,4397766,van,2,4063,PC7667A3E,1041 Sat Aug 14,20:24:08 2021 439776
1042,Thu Aug 19 17:35:57 2021,9797764,car,2,4624,PCDF73A3C,1042 Thu Aug 19,17:35:57 2021 979776
1043,Mon Aug  2 22:35:16 2021,8818426,car,2,4101,PCCC8F243,1043 Mon Aug  2,22:35:16 2021 881842
1044,Wed Aug 11 15:28:59 2021,6861442,car,2,4418,PCF6EECB2,1044 Wed Aug 11,15:28:59 2021 686144
1045,Tue Aug  3 23:39:22 2021,2172288,car,2,4141,PC13CB69B,1045 Tue Aug  3,23:39:22 2021 217228
1046,Mon Aug  9 00:08:46 2021,7219802,car,2,4613,PCEBBFFB5,1046 Mon Aug  9,00:08:46 2021 721980
1047,Mon Aug 16 20:52:45 2021,1584903,car,2,4171,PC36C9AE8,1047 Mon Aug 16,20:52:45 2021 158490
1048,Sat Aug  7 05:58:52 2021,478237,van,2,4365,PC0F226DF,1048 Sat Aug  7,05:58:52 2021 478237
1049,Sun Aug  8 18:44:49 2021,6296035,car,2,4240,PC72FE04B,1049 Sun Aug  8,18:44:49 2021 629603
1050,Sat Aug 14 02:43:50 2021,530491,truck,4,4359,PCB27CFF1,1050 Sat Aug 14,02:43:50 2021 530491
1051,Tue Aug 10 22:14:38 2021,2852105,car,2,4522,PC0A326BE,1051 Tue Aug 10,22:14:38 2021 285210
1052,Fri Jul 30 13:03:41 2021,6197707,car,2,4745,PC6397888,1052 Fri Jul 30,13:03:41 2021 619770
1053,Fri Aug 20 23:24:25 2021,1164872,car,2,4737,PCED7EAFE,1053 Fri Aug 20,23:24:25 2021 116487
1054,Tue Aug 10 04:05:40 2021,234151,van,2,4285,PCB524A9F,1054 Tue Aug 10,04:05:40 2021 234151
1055,Mon Aug  9 06:06:51 2021,9016853,van,2,4892,PC7AA5B2F,1055 Mon Aug  9,06:06:51 2021 901685
1056,Sun Aug  8 16:03:21 2021,5903232,car,2,4352,PC99B9343,1056 Sun Aug  8,16:03:21 2021 590323
1057,Wed Aug 18 12:13:23 2021,4337798,car,2,4182,PC5EBB0FA,1057 Wed Aug 18,12:13:23 2021 433779
1058,Sun Aug 15 17:22:02 2021,3868754,van,2,4611,PC2EBEAB9,1058 Sun Aug 15,17:22:02 2021 386875
1059,Fri Aug 20 12:22:30 2021,3530998,truck,4,4925,PCE5E04A2,1059 Fri Aug 20,12:22:30 2021 353099
1060,Tue Aug 17 05:06:56 2021,2087513,truck,4,4376,PCA283923,1060 Tue Aug 17,05:06:56 2021 208751
1061,Mon Aug  2 04:16:10 2021,8767809,car,2,4812,PC22D9C6D,1061 Mon Aug  2,04:16:10 2021 876780
1062,Tue Aug 10 06:01:57 2021,9300623,van,2,4974,PCDEB8E32,1062 Tue Aug 10,06:01:57 2021 930062
1063,Sun Aug  1 19:19:35 2021,4987435,car,2,4107,PC7607A5D,1063 Sun Aug  1,19:19:35 2021 498743
1064,Tue Aug  3 11:24:45 2021,1016929,car,2,4853,PC214FB8E,1064 Tue Aug  3,11:24:45 2021 101692
1065,Mon Aug 16 17:59:21 2021,1269373,truck,4,4856,PC7C042B7,1065 Mon Aug 16,17:59:21 2021 126937
1066,Tue Aug  3 07:04:43 2021,9147847,car,2,4473,PC51FDD60,1066 Tue Aug  3,07:04:43 2021 914784
1067,Wed Aug  4 19:20:10 2021,9197506,car,2,4003,PC83F544D,1067 Wed Aug  4,19:20:10 2021 919750
1068,Sat Aug  7 19:45:04 2021,5894380,car,2,4284,PC0DB49FD,1068 Sat Aug  7,19:45:04 2021 589438
1069,Tue Aug  3 09:33:41 2021,9600014,van,2,4176,PC11E9595,1069 Tue Aug  3,09:33:41 2021 960001
1070,Thu Aug  5 09:08:20 2021,7343214,car,2,4438,PC665A28E,1070 Thu Aug  5,09:08:20 2021 734321
1071,Tue Aug 10 02:47:31 2021,7020174,car,2,4110,PCF891CEB,1071 Tue Aug 10,02:47:31 2021 702017
1072,Sat Aug 21 04:22:12 2021,2005924,truck,4,4730,PC7DC0964,1072 Sat Aug 21,04:22:12 2021 200592
1073,Sat Jul 31 17:23:28 2021,1511615,van,2,4576,PC394C979,1073 Sat Jul 31,17:23:28 2021 151161
1074,Sat Aug  7 09:25:35 2021,3335485,truck,4,4820,PCC30C735,1074 Sat Aug  7,09:25:35 2021 333548
1075,Sun Aug  8 23:18:49 2021,6710855,truck,4,4184,PC43A5E42,1075 Sun Aug  8,23:18:49 2021 671085
1076,Sat Aug 14 21:30:28 2021,9593619,car,2,4282,PCCE002E5,1076 Sat Aug 14,21:30:28 2021 959361
1077,Wed Aug  4 09:49:51 2021,9841801,car,2,4435,PC3E78C17,1077 Wed Aug  4,09:49:51 2021 984180
1078,Tue Aug 17 21:30:14 2021,3918388,car,2,4921,PCA70760B,1078 Tue Aug 17,21:30:14 2021 391838
1079,Fri Aug 20 06:10:27 2021,2382610,truck,4,4750,PCD987A9D,1079 Fri Aug 20,06:10:27 2021 238261
1080,Sun Aug  8 23:40:51 2021,1847423,van,2,4954,PCA276EBB,1080 Sun Aug  8,23:40:51 2021 184742
1081,Sat Aug 14 11:31:18 2021,5914006,truck,4,4321,PC591BDF7,1081 Sat Aug 14,11:31:18 2021 591400
1082,Sat Aug 21 09:20:00 2021,588548,car,2,4358,PC32FB72C,1082 Sat Aug 21,09:20:00 2021 588548
1083,Fri Jul 30 08:36:31 2021,8957113,car,2,4434,PCA491459,1083 Fri Jul 30,08:36:31 2021 895711
1084,Mon Aug 16 11:46:20 2021,138934,truck,4,4760,PC161AC8D,1084 Mon Aug 16,11:46:20 2021 138934
1085,Sun Aug  8 23:18:31 2021,7639839,car,2,4764,PCF6B0D12,1085 Sun Aug  8,23:18:31 2021 763983
1086,Mon Aug  2 02:15:56 2021,6523053,car,2,4917,PCD8C66B1,1086 Mon Aug  2,02:15:56 2021 652305
1087,Mon Aug  2 20:20:17 2021,5491855,car,2,4853,PC214FB8E,1087 Mon Aug  2,20:20:17 2021 549185
1088,Sat Aug  7 18:12:22 2021,143888,car,2,4194,PC96AD1EB,1088 Sat Aug  7,18:12:22 2021 143888
1089,Wed Aug 11 21:43:23 2021,9613414,van,2,4817,PCFF02057,1089 Wed Aug 11,21:43:23 2021 961341
